495;Multia;Multia;935;860;1795;
498;Muonio;Muonio;1173;1166;2339;
499;Mustasaari;Korsholm;9671;9583;19254;
500;Muurame;Muurame;4879;4808;9687;
503;Mynämäki;Mynämäki;3970;3973;7943;
504;Myrskylä;Mörskom;989;1012;2001;
505;Mäntsälä;Mäntsälä;10212;10403;20615;
508;Mänttä-Vilppula;Mänttä-Vilppula;5288;5520;10808;
507;Mäntyharju;Mäntyharju;3079;3165;6244;
529;Naantali;Nådendal;9157;9723;18880;
531;Nakkila;Nakkila;2821;2852;5673;
532;Nastola;Nastola;7516;7431;14947;
535;Nivala;Nivala;5609;5373;10982;
536;Nokia;Nokia;16263;16560;32823;
538;Nousiainen;Nousis;2475;2361;4836;
541;Nurmes;Nurmes;4096;4033;8129;
543;Nurmijärvi;Nurmijärvi;20637;20822;41459;
545;Närpiö;Närpes;4744;4623;9367;
560;Orimattila;Orimattila;8096;8261;16357;
561;Oripää;Oripää;704;706;1410;
562;Orivesi;Orivesi;4730;4883;9613;
563;Oulainen;Oulainen;3791;3972;7763;
564;Oulu;Uleåborg;97112;98175;195287;
309;Outokumpu;Outokumpu;3584;3621;7205;
576;Padasjoki;Padasjoki;1623;1611;3234;
577;Paimio;Pemar;5262;5378;10640;
578;Paltamo;Paltamo;1858;1745;3603;
445;Parainen;Pargas;7691;7822;15513;
580;Parikkala;Parikkala;2750;2698;5448;
581;Parkano;Parkano;3454;3363;6817;
599;Pedersören kunta;Pedersöre;5674;5342;11016;
583;Pelkosenniemi;Pelkosenniemi;529;423;952;
854;Pello;Pello;1893;1811;3704;
584;Perho;Perho;1483;1443;2926;
588;Pertunmaa;Pertunmaa;945;900;1845;
592;Petäjävesi;Petäjävesi;2082;2040;4122;
593;Pieksämäki;Pieksämäki;9417;9752;19169;
595;Pielavesi;Pielavesi;2469;2342;4811;
598;Pietarsaari;Jakobstad;9747;9914;19661;
601;Pihtipudas;Pihtipudas;2132;2182;4314;
604;Pirkkala;Birkala;9162;9351;18513;
607;Polvijärvi;Polvijärvi;2354;2261;4615;
608;Pomarkku;Påmark;1177;1123;2300;
609;Pori;Björneborg;40526;43006;83532;
611;Pornainen;Borgnäs;2609;2553;5162;
638;Porvoo;Borgå;24439;25292;49731;
614;Posio;Posio;1900;1741;3641;
615;Pudasjärvi;Pudasjärvi;4428;4019;8447;
616;Pukkila;Pukkila;1010;1004;2014;
619;Punkalaidun;Punkalaidun;1602;1535;3137;
620;Puolanka;Puolanka;1474;1378;2852;
623;Puumala;Puumala;1185;1137;2322;
624;Pyhtää;Pyttis;2686;2684;5370;
625;Pyhäjoki;Pyhäjoki;1716;1606;3322;
626;Pyhäjärvi;Pyhäjärvi;2836;2793;5629;
